batch_code,department,division,series,sub_series,sub_sub_series,piece,item,file_uuid,file_path,file_checksum,resource_uri,scan_operator,scan_id,scan_location,image_resolution,image_width,image_height,image_tonal_resolution,image_format,image_compression,image_colour_space,image_split,image_split_other_uuid,image_crop,image_deskew,comments
TESTBATCH000,TEST,,1,,,1,1,5fe890e9-6650-46db-bc74-81985a4a9580,file:///TEST_1/1/1/1_1_001.xml,fb58b56a17af0f52cf794c108e0c1574a3a2c02b25e22699668bb43801028431,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/1/5fe890e9-6650-46db-bc74-81985a4a9580,scanop01,scanner01,"The National Archives, TW9 4DU",300,2452,3558,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,2,d4099190-e19b-4747-bd1f-2ea2c9e09f32,file:///TEST_1/1/2/1_2_001.xml,9b5bab9408e8674369e61c6c2a3a63fe269cae435878ac59598b3561dcf72f7b,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/2/d4099190-e19b-4747-bd1f-2ea2c9e09f32,scanop01,scanner02,"The National Archives, TW9 4DU",300,2504,3650,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,1,e9fd464f-37b1-4b90-bbe2-5a7cb1e037ed,file:///TEST_1/2/1/2_1_001.xml,b1240e6c1055faeeec79a55e86f8da21f8fb45582af8698711d3504fc742a138,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/1/e9fd464f-37b1-4b90-bbe2-5a7cb1e037ed,scanop05,scanner01,"The National Archives, TW9 4DU",300,2550,3635,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,2,e663411f-f81c-4185-9c0d-7f970c221a5a,file:///TEST_1/2/2/2_2_001.xml,c7e9c13762e7b8a461775e77cc7872d5448b6d41ddab163d5431ff023f670111,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/2/e663411f-f81c-4185-9c0d-7f970c221a5a,scanop03,scanner02,"The National Archives, TW9 4DU",300,2597,3601,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,1,fc12183f-1631-4a55-b6c9-d2ef1290d6d2,file:///TEST_1/1/1/1_1_002.xml,50d8f30dc037ba97a503785927320594387ea8080d9bca51868d2a0400da5116,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/1/fc12183f-1631-4a55-b6c9-d2ef1290d6d2,scanop02,scanner01,"The National Archives, TW9 4DU",300,2497,3645,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,2,dad0e90e-4da8-41ee-a78a-0a35a9e5fe53,file:///TEST_1/1/2/1_2_002.xml,01e785ef14fdef5d7af66f47e8f754c8a608e40f1d66bffa897d74a6a88f6e97,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/2/dad0e90e-4da8-41ee-a78a-0a35a9e5fe53,scanop05,scanner01,"The National Archives, TW9 4DU",300,2595,3578,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,1,9835c2d3-fbb7-4a46-869f-56ff2d2d59f5,file:///TEST_1/2/1/2_1_002.xml,5ebc52da53cbbe9995034deded2aca21bb5309e63de5ce8f91f0e2b939ffd99a,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/1/9835c2d3-fbb7-4a46-869f-56ff2d2d59f5,scanop04,scanner02,"The National Archives, TW9 4DU",300,2445,3642,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,2,0c65462f-5e2f-466a-9df1-5488b77c2490,file:///TEST_1/2/2/2_2_002.xml,9c11276c79367abe26fa81dd9d0b9fe8a5e029b1feaba24d5337bc664f62b01d,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/2/0c65462f-5e2f-466a-9df1-5488b77c2490,scanop03,scanner02,"The National Archives, TW9 4DU",300,2439,3486,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,1,534093b0-3181-4dbf-9863-3b7a8515fb00,file:///TEST_1/1/1/1_1_003.xml,9cb00ba62203b77c4e907a05a99e06f142afce65d7bad9983e5c50823f070109,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/1/534093b0-3181-4dbf-9863-3b7a8515fb00,scanop01,scanner02,"The National Archives, TW9 4DU",300,2498,3451,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,2,1013992e-d381-4285-98ed-5310c37d7b69,file:///TEST_1/1/2/1_2_003.xml,a9e4083a73d44ff1d5eabcec01a60c7f158b970299895b31ded695a13a15b257,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/2/1013992e-d381-4285-98ed-5310c37d7b69,scanop03,scanner02,"The National Archives, TW9 4DU",300,2596,3609,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,1,79b7a20b-4b9f-4001-9b51-9e222980d9fc,file:///TEST_1/2/1/2_1_003.xml,6acad8231fb163adb31b14991621431dfc560b2bbe2602b1b78b1174bd97f69b,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/1/79b7a20b-4b9f-4001-9b51-9e222980d9fc,scanop05,scanner03,"The National Archives, TW9 4DU",300,2472,3556,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,2,2,5ae12d76-6594-48a8-95d7-63713f5642c9,file:///TEST_1/2/2/2_2_003.xml,f7a1af312312e0329b0b4e5b3270a361a56b6de4d7b500b8b1569798793c9994,http://datagov.nationalarchives.gov.uk/66/TEST/1/2/2/5ae12d76-6594-48a8-95d7-63713f5642c9,scanop03,scanner03,"The National Archives, TW9 4DU",300,2470,3454,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
TESTBATCH000,TEST,,1,,,1,1,f507c7ca-0f43-4ab0-a585-6ee9c9c573b7,file:///TEST_1/1/1/1_1_004.xml,54a4019b28f4b9bd694ed71cbbfab7ca88e18169088afe86309552d836f7f411,http://datagov.nationalarchives.gov.uk/66/TEST/1/1/1/f507c7ca-0f43-4ab0-a585-6ee9c9c573b7,scanop04,scanner03,"The National Archives, TW9 4DU",300,2551,3464,24-bit colour,x-fmt/392,6,sRGB,no,,auto,no,"Files would normally be JPEG2000s, but to keep to a manageable size, for these examples only the XML which would normally be embedded is presented"
